id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,user_rt_id,near,geo
521236862498000896,521236862498000896,1413107526000,2014-10-12,11:52:06,CEST,159881051,fibretigre,FibreTigre,,je croyais que le restaurant vietnamien allait fermer  et bien c'était pho,[],[],[],6,26,26,[],[],https://twitter.com/FibreTigre/status/521236862498000896,,,0,,,
429627372166721537,429627372166721537,1391266122000,2014-02-01,15:48:42,CEST,31016249,jdemontreal,Journal de Montréal,,Un restaurant vietnamien du centre-ville de Montréal se fait à nouveau prendre  http://www.journaldemontreal.com/2014/01/31/colonie-dinsectes …,[],['http://www.journaldemontreal.com/2014/01/31/colonie-dinsectes'],[],1,2,0,[],[],https://twitter.com/JdeMontreal/status/429627372166721537,,,0,,,
368086092748050432,368086092748050432,1376593537000,2013-08-15,21:05:37,CEST,47459386,danlebla,Daniel Leblanc,,"iPho, la pognez-vous? RT @PierreJury: Un nouveau #restaurant vietnamien s'annonce à #Ottawa, iPho. #ledroit pic.twitter.com/SDfWJ2vc7F",['pierrejury'],[],['https://pbs.twimg.com/media/BRuzsPTCUAEUV_b.jpg'],2,0,0,"['#restaurant', '#ottawa', '#ledroit']",[],https://twitter.com/danlebla/status/368086092748050432,,,0,,,
339356780100476928,339356780100476928,1369743935000,2013-05-28,14:25:35,CEST,46127230,unionardennais,L'Union-L'Ardennais,,#Sedan  Une carcasse de mouton égorgé... dans un restaurant vietnamien.   http://bit.ly/10xmee9 ,[],['http://bit.ly/10xmee9'],[],1,0,0,['#sedan'],[],https://twitter.com/UnionArdennais/status/339356780100476928,,,0,,,
328872840281600000,328795954637586433,1367244369000,2013-04-29,16:06:09,CEST,115030225,pagesjaunes,PagesJaunes,,@tatatricot @mlle_farfalle Et bien le seul autre restaurant vietnamien que l'on trouve à proximité est le  http://www.pagesjaunes.fr/pros/07137047#onglet-infos …,"['tatatricot', 'mlle_farfalle']",['http://www.pagesjaunes.fr/pros/07137047#onglet-infos'],[],1,0,0,[],[],https://twitter.com/PagesJaunes/status/328872840281600000,,,0,,,
266372822992044034,266372822992044034,1352343204000,2012-11-08,03:53:24,CEST,109343463,laurentlasalle,Laurent LaSalle,,Un restaurant vietnamien ouvert à cette heure à Montréal. Des idées?,[],[],[],2,0,0,[],[],https://twitter.com/LaurentLaSalle/status/266372822992044034,,,0,,,
262804462039613440,262804462039613440,1351492441000,2012-10-29,07:34:01,CEST,400334965,huffpostquebec,HuffPost Québec,,Bataille dans un restaurant vietnamien: une assiette lui éclate en plein visage (VIDÉO)  http://huff.to/WTIU6O ,[],['http://huff.to/WTIU6O'],[],0,1,0,[],[],https://twitter.com/HuffPostQuebec/status/262804462039613440,,,0,,,
262680412185313280,262680412185313280,1351462865000,2012-10-28,23:21:05,CEST,400334965,huffpostquebec,HuffPost Québec,,Bataille dans un restaurant vietnamien: une assiette lui éclate en plein visage (VIDÉO)  http://huff.to/WTIU6O ,[],['http://huff.to/WTIU6O'],[],0,2,0,[],[],https://twitter.com/HuffPostQuebec/status/262680412185313280,,,0,,,
224980731829559296,224980731829559296,1342474561000,2012-07-16,23:36:01,CEST,127815508,a_cheylan,Anthony Cheylan,,"Meilleur restaurant vietnamien de Paris: Thu Thu 8, Place de Clichy. Super bon et pas cher.",[],[],[],1,2,0,[],[],https://twitter.com/a_cheylan/status/224980731829559296,,,0,,,
159556363289239553,159556363289239553,1326876176000,2012-01-18,09:42:56,CEST,17152053,mathieuvonrohr,Mathieu von Rohr,,C'est drôle que les médias parisiens ne s'intéressent pas à cette histoire d'un restaurant vietnamien à Paris:  http://spon.de/adyst ,[],['http://spon.de/adyst'],[],0,0,0,[],[],https://twitter.com/mathieuvonrohr/status/159556363289239553,,,0,,,
3734338151,3734338151,1251987741000,2009-09-03,16:22:21,CEST,4845761,hervekabla,Herve Kabla,,Conaissez-vous la théorie du restaurant vietnamien (par Pascal Nègre)? #uemedef09 #medefue09,[],[],[],0,0,0,"['#uemedef09', '#medefue09']",[],https://twitter.com/HerveKabla/status/3734338151,,,0,,,
